music,T1,T2,T3,M1,M2,M3
MT0003106472.mp3,4,5,4,5,4,4
MT0010736208.mp3,4,4,3,3,3,2
MT0014703649.mp3,5,4,5,5,5,5
MT0005409948.mp3,5,4,4,5,5,5
MT0014615863.mp3,5,4,4,3,2,2
MT0004882280.mp3,1,1,1,2,3,3
MT0013612461.mp3,4,4,3,1,4,2
MT0003724610.mp3,2,3,2,4,3,4
MT0002372242.mp3,3,5,2,2,1,2
MT0004032071.mp3,1,2,1,3,2,1
MT0010615428.mp3,1,3,3,4,4,5
MT0040033011.mp3,5,5,5,2,3,1
MT0007535042.mp3,1,2,1,3,3,2
MT0004293364.mp3,4,4,5,2,4,1
MT0009800907.mp3,1,1,1,2,2,1
MT0004028719.mp3,2,3,1,1,1,1
MT0030036616.mp3,5,5,4,4,5,5
MT0004085907.mp3,4,4,3,1,2,1
MT0010624346.mp3,4,5,4,4,4,5
MT0014794891.mp3,5,4,4,2,4,2
